ENGINE RUN TIME,ENGINE RPM,VEHICLE SPEED,THROTTLE,ENGINE LOAD,COOLANT TEMPERATURE,LONG TERM FUEL TRIM BANK 1,SHORT TERM FUEL TRIM BANK 1,INTAKE MANIFOLD PRESSURE,FUEL TANK,ABSOLUTE THROTTLE B,PEDAL D,PEDAL E,COMMANDED THROTTLE ACTUATOR,FUEL AIR COMMANDED EQUIV RATIO,ABSOLUTE BAROMETRIC PRESSURE,RELATIVE THROTTLE POSITION,INTAKE AIR TEMP,TIMING ADVANCE,CATALYST TEMPERATURE BANK1 SENSOR1,CATALYST TEMPERATURE BANK1 SENSOR2,CONTROL MODULE VOLTAGE,COMMANDED EVAPORATIVE PURGE,TIME RUN WITH MIL ON,TIME SINCE TROUBLE CODES CLEARED,DISTANCE TRAVELED WITH MIL ON,WARM UPS SINCE CODES CLEARED
0.0,0.0,17.647058,0.0,81.0,-4.6875,0.0,101.0,60.392159,49.803921,16.078432,31.764706,17.254902,0.0,100.0,0.0,45.0,5.0,424.799988,251.5,276.65000000000003,0.0,0.0,8260.0,0.0,255.0,
0.0,0.0,17.647058,0.0,81.0,-4.6875,0.0,101.0,60.392159,49.803921,16.078432,31.764706,17.254902,0.0,100.0,0.0,45.0,5.0,424.799988,251.5,276.65000000000003,0.0,0.0,8260.0,0.0,255.0,
0.0,0.0,17.647058,0.0,81.0,-4.6875,0.0,101.0,60.392159,49.803921,16.078432,31.764706,17.254902,0.0,100.0,0.0,45.0,5.0,424.799988,251.5,276.65000000000003,0.0,0.0,8260.0,0.0,255.0,
0.0,0.0,17.647058,0.0,81.0,-4.6875,0.0,101.0,60.392159,49.803921,16.078432,31.764706,17.254902,0.0,100.0,0.0,45.0,5.0,424.799988,251.5,276.65000000000003,0.0,0.0,8260.0,0.0,255.0,
245.25,0.0,17.254902,88.627449,81.0,-4.6875,0.0,83.0,60.392159,49.803921,16.078432,31.764706,17.254902,0.0,100.0,0.0,45.0,5.0,424.799988,251.5,276.65000000000003,0.0,0.0,8260.0,0.0,255.0,
245.25,0.0,17.254902,88.627449,81.0,-4.6875,0.0,83.0,60.392159,49.803921,16.078432,31.764706,17.254902,0.0,100.0,0.0,45.0,5.0,424.799988,251.5,276.65000000000003,0.0,0.0,8260.0,0.0,255.0,
245.25,0.0,17.254902,88.627449,81.0,-4.6875,0.0,83.0,60.392159,49.019608,16.078432,31.764706,20.392157,0.0,100.0,0.0,45.0,5.0,424.799988,251.5,276.65000000000003,0.0,0.0,8260.0,0.0,255.0,
1128.0,0.0,17.254902,30.588236,81.0,0.0,0.0,32.0,60.392159,49.019608,16.078432,31.764706,20.392157,0.0,100.0,0.0,45.0,5.0,424.799988,251.5,276.65000000000003,0.0,0.0,8260.0,0.0,255.0,
1128.0,0.0,19.215687,30.588236,81.0,0.0,0.0,32.0,60.392159,49.019608,16.078432,31.764706,20.392157,0.0,100.0,0.0,46.0,2.0,424.799988,251.5,276.65000000000003,0.0,0.0,8260.0,0.0,255.0,
1128.0,0.0,19.215687,30.588236,81.0,0.0,0.0,32.0,60.392159,49.019608,16.078432,31.764706,20.392157,0.0,100.0,0.0,46.0,2.0,64.099998,63.300003,69.6300033,0.0,0.0,8260.0,0.0,255.0,
1128.0,0.0,19.215687,30.588236,81.0,0.0,0.0,32.0,60.392159,51.372547,16.078432,31.764706,19.215687,0.0,100.0,0.0,46.0,2.0,64.099998,63.300003,69.6300033,0.0,0.0,8260.0,0.0,255.0,
1113.25,0.0,19.215687,31.764706,80.0,0.0,0.0,33.0,60.392159,51.372547,16.078432,31.764706,19.215687,0.0,100.0,0.0,46.0,2.0,64.099998,63.300003,69.6300033,0.0,0.0,8260.0,0.0,255.0,
1113.25,0.0,19.215687,31.764706,80.0,0.0,0.0,33.0,60.392159,51.372547,16.078432,31.764706,19.215687,0.0,100.0,0.0,46.0,2.0,64.099998,63.300003,69.6300033,0.0,0.0,8260.0,0.0,255.0,
1113.25,0.0,19.215687,31.764706,80.0,0.0,0.0,33.0,60.392159,51.372547,16.078432,31.764706,18.82353,0.0,100.0,0.0,46.0,2.0,67.400002,63.300003,69.6300033,0.0,0.0,8260.0,0.0,255.0,
1113.25,0.0,19.215687,31.764706,80.0,0.0,0.0,33.0,60.392159,51.372547,16.078432,31.764706,18.82353,0.0,100.0,0.0,46.0,2.0,67.400002,63.300003,69.6300033,0.0,0.0,8260.0,0.0,255.0,
922.5,0.0,18.82353,35.294117,80.0,-0.78125,0.0,35.0,60.392159,51.372547,16.078432,31.764706,18.82353,0.0,100.0,0.0,47.0,7.0,67.400002,63.300003,69.6300033,0.0,0.0,8260.0,0.0,255.0,
922.5,0.0,18.82353,35.294117,80.0,-0.78125,0.0,35.0,60.392159,51.372547,16.078432,31.764706,18.82353,0.0,100.0,0.0,47.0,7.0,67.400002,63.300003,69.6300033,0.0,0.0,8260.0,0.0,255.0,
922.5,0.0,18.82353,35.294117,80.0,-0.78125,0.0,35.0,60.392159,50.980392,16.078432,31.764706,18.82353,0.0,100.0,0.0,47.0,7.0,69.699997,63.300003,69.6300033,0.0,0.0,8260.0,0.0,255.0,
922.5,0.0,18.82353,35.686275,79.0,-0.78125,0.0,35.0,60.392159,50.980392,16.078432,31.764706,18.82353,0.0,100.0,0.0,47.0,7.0,69.699997,63.300003,69.6300033,0.0,0.0,8260.0,0.0,255.0,
851.5,0.0,18.82353,35.686275,79.0,-0.78125,0.0,35.0,60.392159,50.980392,16.078432,31.764706,18.82353,0.0,100.0,0.0,48.0,7.0,69.699997,63.300003,69.6300033,0.0,0.0,8260.0,0.0,255.0,
851.5,0.0,18.82353,35.686275,79.0,-0.78125,0.0,35.0,60.392159,50.980392,16.078432,31.764706,18.82353,0.0,100.0,0.0,48.0,7.0,74.900002,63.300003,69.6300033,0.0,0.0,8260.0,0.0,255.0,
851.5,0.0,18.82353,35.686275,79.0,-0.78125,0.0,35.0,60.392159,50.588234,16.078432,31.764706,18.82353,0.0,100.0,0.0,48.0,7.0,74.900002,63.300003,69.6300033,0.0,0.0,8260.0,0.0,255.0,
835.75,0.0,18.82353,36.470589,79.0,-0.78125,0.0,36.0,60.392159,50.588234,16.078432,31.764706,18.82353,0.0,100.0,0.0,48.0,4.0,74.900002,63.300003,69.6300033,0.0,0.0,8260.0,0.0,255.0,
835.75,0.0,18.82353,36.470589,79.0,-0.78125,0.0,36.0,60.392159,50.588234,16.078432,31.764706,18.82353,0.0,100.0,0.0,48.0,4.0,74.900002,63.300003,69.6300033,0.0,0.0,8260.0,0.0,255.0,
835.75,0.0,18.82353,36.470589,79.0,-0.78125,0.0,36.0,60.392159,50.980392,16.078432,31.764706,18.82353,0.0,100.0,0.0,48.0,4.0,80.699997,63.300003,69.6300033,0.0,0.0,8260.0,0.0,255.0,
835.75,0.0,18.82353,36.470589,79.0,-0.78125,0.0,36.0,60.392159,50.980392,16.078432,31.764706,18.82353,0.0,100.0,0.0,48.0,4.0,80.699997,63.300003,69.6300033,0.0,0.0,8260.0,0.0,255.0,
